Model,Accuracy,Precision,Recall,F1-Score,Training Time (Min)
Custom CNN,0.09446564885496184,0.008923758813588952,0.09446564885496184,0.01630706056955749,79.8
MobileNetV2 Transfer,0.857824427480916,0.8612070956357675,0.857824427480916,0.8583876946040272,77.53
ResNet50 Transfer,0.8740458015267175,0.8762498434505076,0.8740458015267175,0.874849444824951,232.42
